city,capital_city,state,group,cpi_group,annual_change,annual_cpi,period,source_table,group_full,group_order,national_annual_change,city_minus_national
Brisbane,Brisbane,QLD,Housing,Housing,7.7,7.7,2026-03-01 00:00:00,ABS CPI Table 11,Housing,5,6.51,1.1900000000000004
Adelaide,Adelaide,SA,Housing,Housing,6.7,6.7,2026-03-01 00:00:00,ABS CPI Table 11,Housing,5,6.51,0.1900000000000004
Perth,Perth,WA,Housing,Housing,6.7,6.7,2026-03-01 00:00:00,ABS CPI Table 11,Housing,5,6.51,0.1900000000000004
Hobart,Hobart,TAS,Housing,Housing,5.4,5.4,2026-03-01 00:00:00,ABS CPI Table 11,Housing,5,6.51,-1.1099999999999994
Darwin,Darwin,NT,Housing,Housing,5.5,5.5,2026-03-01 00:00:00,ABS CPI Table 11,Housing,5,6.51,-1.0099999999999998
Canberra,Canberra,ACT,Housing,Housing,5.1,5.1,2026-03-01 00:00:00,ABS CPI Table 11,Housing,5,6.51,-1.4100000000000001
Sydney,Sydney,NSW,"Furnishings, household equipment and services","Furnishings, household equipment and services",0.9,0.9,2026-03-01 00:00:00,ABS CPI Table 11,"Furnishings, household equipment and services",6,1.38,-0.47999999999999987
Melbourne,Melbourne,VIC,"Furnishings, household equipment and services","Furnishings, household equipment and services",1.2,1.2,2026-03-01 00:00:00,ABS CPI Table 11,"Furnishings, household equipment and services",6,1.38,-0.17999999999999994
Brisbane,Brisbane,QLD,"Furnishings, household equipment and services","Furnishings, household equipment and services",2.3,2.3,2026-03-01 00:00:00,ABS CPI Table 11,"Furnishings, household equipment and services",6,1.38,0.9199999999999999
Adelaide,Adelaide,SA,"Furnishings, household equipment and services","Furnishings, household equipment and services",1.7,1.7,2026-03-01 00:00:00,ABS CPI Table 11,"Furnishings, household equipment and services",6,1.38,0.32000000000000006
Perth,Perth,WA,"Furnishings, household equipment and services","Furnishings, household equipment and services",1.3,1.3,2026-03-01 00:00:00,ABS CPI Table 11,"Furnishings, household equipment and services",6,1.38,-0.07999999999999985
Hobart,Hobart,TAS,"Furnishings, household equipment and services","Furnishings, household equipment and services",1.4,1.4,2026-03-01 00:00:00,ABS CPI Table 11,"Furnishings, household equipment and services",6,1.38,0.020000000000000018
Darwin,Darwin,NT,"Furnishings, household equipment and services","Furnishings, household equipment and services",2.8,2.8,2026-03-01 00:00:00,ABS CPI Table 11,"Furnishings, household equipment and services",6,1.38,1.42
Canberra,Canberra,ACT,"Furnishings, household equipment and services","Furnishings, household equipment and services",2.7,2.7,2026-03-01 00:00:00,ABS CPI Table 11,"Furnishings, household equipment and services",6,1.38,1.3200000000000003
Sydney,Sydney,NSW,Health,Health,2.8,2.8,2026-03-01 00:00:00,ABS CPI Table 11,Health,7,3.04,-0.2400000000000002
Melbourne,Melbourne,VIC,Health,Health,3.4,3.4,2026-03-01 00:00:00,ABS CPI Table 11,Health,7,3.04,0.3599999999999999
Brisbane,Brisbane,QLD,Health,Health,3.0,3.0,2026-03-01 00:00:00,ABS CPI Table 11,Health,7,3.04,-0.040000000000000036
Adelaide,Adelaide,SA,Health,Health,3.5,3.5,2026-03-01 00:00:00,ABS CPI Table 11,Health,7,3.04,0.45999999999999996
Perth,Perth,WA,Health,Health,2.8,2.8,2026-03-01 00:00:00,ABS CPI Table 11,Health,7,3.04,-0.2400000000000002
