group,group_full,annual_change,monthly_change,category_type,group_order,rank_by_pressure,dot,x,y,global_y,dot_value_pp
Transport,Transport,8.9,9.16,essential/regulated,8,1,81,8,4,4,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,82,9,4,4,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,83,10,4,4,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,84,11,4,4,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,85,12,4,4,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,86,13,4,4,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,87,14,4,4,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,88,15,4,4,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,89,16,4,4,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,1,0,0,6,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,2,1,0,6,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,3,2,0,6,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,4,3,0,6,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,5,4,0,6,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,6,5,0,6,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,7,6,0,6,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,8,7,0,6,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,9,8,0,6,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,10,9,0,6,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,11,10,0,6,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,12,11,0,6,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,13,12,0,6,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,14,13,0,6,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,15,14,0,6,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,16,15,0,6,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,17,16,0,6,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,18,17,0,6,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,19,0,1,7,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,20,1,1,7,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,21,2,1,7,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,22,3,1,7,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,23,4,1,7,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,24,5,1,7,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,25,6,1,7,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,26,7,1,7,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,27,8,1,7,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,28,9,1,7,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,29,10,1,7,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,30,11,1,7,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,31,12,1,7,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,32,13,1,7,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,33,14,1,7,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,34,15,1,7,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,35,16,1,7,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,36,17,1,7,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,37,0,2,8,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,38,1,2,8,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,39,2,2,8,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,40,3,2,8,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,41,4,2,8,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,42,5,2,8,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,43,6,2,8,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,44,7,2,8,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,45,8,2,8,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,46,9,2,8,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,47,10,2,8,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,48,11,2,8,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,49,12,2,8,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,50,13,2,8,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,51,14,2,8,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,52,15,2,8,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,53,16,2,8,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,54,17,2,8,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,55,0,3,9,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,56,1,3,9,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,57,2,3,9,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,58,3,3,9,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,59,4,3,9,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,60,5,3,9,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,61,6,3,9,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,62,7,3,9,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,63,8,3,9,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,64,9,3,9,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,65,10,3,9,0.1
